category	subcategory	value	description
ANTIGEN_PRESENTATION	positive	CD1a+	CD1a
ANTIGEN_PRESENTATION	positive	CD1b+	CD1b
ANTIGEN_PRESENTATION	positive	CD1c+	CD1c
ANTIGEN_PRESENTATION	positive	CD1d+	CD1d
ANTIGEN_PRESENTATION	positive	CD1e+	CD1e
ANTIGEN_PRESENTATION	positive	CD2+	CD2
ANTIGEN_PRESENTATION	positive	CD3+	CD3
ANTIGEN_PRESENTATION	positive	CD3d+	CD3d
ANTIGEN_PRESENTATION	positive	CD3e+	CD3e
ANTIGEN_PRESENTATION	positive	CD3g+	CD3g
ANTIGEN_PRESENTATION	positive	CD4+	CD4
ANTIGEN_PRESENTATION	positive	CD5+	CD5
ANTIGEN_PRESENTATION	positive	CD6+	CD6
ANTIGEN_PRESENTATION	positive	CD7+	CD7
ANTIGEN_PRESENTATION	positive	CD8a+	CD8a
ANTIGEN_PRESENTATION	positive	CD8b+	CD8b
ANTIGEN_PRESENTATION	positive	CD9+	CD9
ANTIGEN_PRESENTATION	positive	CD10+	CD10
ANTIGEN_PRESENTATION	positive	CD11a+	CD11a
ANTIGEN_PRESENTATION	positive	CD11b+	CD11b
ANTIGEN_PRESENTATION	positive	CD11c+	CD11c
ANTIGEN_PRESENTATION	positive	CD11d+	CD11d
ANTIGEN_PRESENTATION	positive	CD13+	CD13
ANTIGEN_PRESENTATION	positive	CD14+	CD14
ANTIGEN_PRESENTATION	positive	CD15+	CD15
ANTIGEN_PRESENTATION	positive	CD16a+	CD16a
ANTIGEN_PRESENTATION	positive	CD16b+	CD16b
ANTIGEN_PRESENTATION	positive	CD17+	CD17
ANTIGEN_PRESENTATION	positive	CD18+	CD18
ANTIGEN_PRESENTATION	positive	CD19+	CD19
ANTIGEN_PRESENTATION	positive	CD20+	CD20
ANTIGEN_PRESENTATION	positive	CD21+	CD21
ANTIGEN_PRESENTATION	positive	CD22+	CD22
ANTIGEN_PRESENTATION	positive	CD23+	CD23
ANTIGEN_PRESENTATION	positive	CD24+	CD24
ANTIGEN_PRESENTATION	positive	CD25+	CD25
ANTIGEN_PRESENTATION	positive	CD26+	CD26
ANTIGEN_PRESENTATION	positive	CD27+	CD27
ANTIGEN_PRESENTATION	positive	CD28+	CD28
ANTIGEN_PRESENTATION	positive	CD29+	CD29
ANTIGEN_PRESENTATION	positive	CD30+	CD30
ANTIGEN_PRESENTATION	positive	CD31+	CD31
ANTIGEN_PRESENTATION	positive	CD33+	CD33
ANTIGEN_PRESENTATION	positive	CD34+	CD34
ANTIGEN_PRESENTATION	positive	CD35+	CD35
ANTIGEN_PRESENTATION	positive	CD36+	CD36
ANTIGEN_PRESENTATION	positive	CD37+	CD37
ANTIGEN_PRESENTATION	positive	CD38+	CD38
ANTIGEN_PRESENTATION	positive	CD39+	CD39
ANTIGEN_PRESENTATION	positive	CD40+	CD40
ANTIGEN_PRESENTATION	positive	CD41+	CD41
ANTIGEN_PRESENTATION	positive	CD42a+	CD42a
ANTIGEN_PRESENTATION	positive	CD42b+	CD42b
ANTIGEN_PRESENTATION	positive	CD42c+	CD42c
ANTIGEN_PRESENTATION	positive	CD42d+	CD42d
ANTIGEN_PRESENTATION	positive	CD43+	CD43
ANTIGEN_PRESENTATION	positive	CD44+	CD44
ANTIGEN_PRESENTATION	positive	CD45+	CD45
ANTIGEN_PRESENTATION	positive	CD45RA+	CD45RA
ANTIGEN_PRESENTATION	positive	CD45RB+	CD45RB
ANTIGEN_PRESENTATION	positive	CD45RC+	CD45RC
ANTIGEN_PRESENTATION	positive	CD45RO+	CD45RO
ANTIGEN_PRESENTATION	positive	CD46+	CD46
ANTIGEN_PRESENTATION	positive	CD47+	CD47
ANTIGEN_PRESENTATION	positive	CD48+	CD48
ANTIGEN_PRESENTATION	positive	CD49a+	CD49a
ANTIGEN_PRESENTATION	positive	CD49b+	CD49b
ANTIGEN_PRESENTATION	positive	CD49c+	CD49c
ANTIGEN_PRESENTATION	positive	CD49d+	CD49d
ANTIGEN_PRESENTATION	positive	CD49e+	CD49e
ANTIGEN_PRESENTATION	positive	CD49f+	CD49f
ANTIGEN_PRESENTATION	positive	CD50+	CD50
ANTIGEN_PRESENTATION	positive	CD51+	CD51
ANTIGEN_PRESENTATION	positive	CD52+	CD52
ANTIGEN_PRESENTATION	positive	CD53+	CD53
ANTIGEN_PRESENTATION	positive	CD54+	CD54
ANTIGEN_PRESENTATION	positive	CD55+	CD55
ANTIGEN_PRESENTATION	positive	CD56+	CD56
ANTIGEN_PRESENTATION	positive	CD57+	CD57
ANTIGEN_PRESENTATION	positive	CD58+	CD58
ANTIGEN_PRESENTATION	positive	CD59+	CD59
ANTIGEN_PRESENTATION	positive	CD60a+	CD60a
ANTIGEN_PRESENTATION	positive	CD60b+	CD60b
ANTIGEN_PRESENTATION	positive	CD60c+	CD60c
ANTIGEN_PRESENTATION	positive	CD61+	CD61
ANTIGEN_PRESENTATION	positive	CD62E+	CD62E
ANTIGEN_PRESENTATION	positive	CD62L+	CD62L
ANTIGEN_PRESENTATION	positive	CD62P+	CD62P
ANTIGEN_PRESENTATION	positive	CD63+	CD63
ANTIGEN_PRESENTATION	positive	CD64a+	CD64a
ANTIGEN_PRESENTATION	positive	CD65+	CD65
ANTIGEN_PRESENTATION	positive	CD65s+	CD65s
ANTIGEN_PRESENTATION	positive	CD66a+	CD66a
ANTIGEN_PRESENTATION	positive	CD66b+	CD66b
ANTIGEN_PRESENTATION	positive	CD66c+	CD66c
ANTIGEN_PRESENTATION	positive	CD66d+	CD66d
ANTIGEN_PRESENTATION	positive	CD66e+	CD66e
ANTIGEN_PRESENTATION	positive	CD66f+	CD66f
ANTIGEN_PRESENTATION	positive	CD67+	CD67
ANTIGEN_PRESENTATION	positive	CD68+	CD68
ANTIGEN_PRESENTATION	positive	CD69+	CD69
ANTIGEN_PRESENTATION	positive	CD70+	CD70
ANTIGEN_PRESENTATION	positive	CD71+	CD71
ANTIGEN_PRESENTATION	positive	CD72+	CD72
ANTIGEN_PRESENTATION	positive	CD73+	CD73
ANTIGEN_PRESENTATION	positive	CD74+	CD74
ANTIGEN_PRESENTATION	positive	CD75+	CD75
ANTIGEN_PRESENTATION	positive	CD75s+	CD75s
ANTIGEN_PRESENTATION	positive	CD76+	CD76
ANTIGEN_PRESENTATION	positive	CD77+	CD77
ANTIGEN_PRESENTATION	positive	CD79a+	CD79a
ANTIGEN_PRESENTATION	positive	CD79b+	CD79b
ANTIGEN_PRESENTATION	positive	CD80+	CD80
ANTIGEN_PRESENTATION	positive	CD81+	CD81
ANTIGEN_PRESENTATION	positive	CD82+	CD82
ANTIGEN_PRESENTATION	positive	CD83+	CD83
ANTIGEN_PRESENTATION	positive	CD84+	CD84
ANTIGEN_PRESENTATION	positive	CD85A+	CD85A
ANTIGEN_PRESENTATION	positive	CD85B+	CD85B
ANTIGEN_PRESENTATION	positive	CD85C+	CD85C
ANTIGEN_PRESENTATION	positive	CD85D+	CD85D
ANTIGEN_PRESENTATION	positive	CD85F+	CD85F
ANTIGEN_PRESENTATION	positive	CD85G+	CD85G
ANTIGEN_PRESENTATION	positive	CD85H+	CD85H
ANTIGEN_PRESENTATION	positive	CD85I+	CD85I
ANTIGEN_PRESENTATION	positive	CD85J+	CD85J
ANTIGEN_PRESENTATION	positive	CD85K+	CD85K
ANTIGEN_PRESENTATION	positive	CD85M+	CD85M
ANTIGEN_PRESENTATION	positive	CD86+	CD86
ANTIGEN_PRESENTATION	positive	CD87+	CD87
ANTIGEN_PRESENTATION	positive	CD88+	CD88
ANTIGEN_PRESENTATION	positive	CD89+	CD89
ANTIGEN_PRESENTATION	positive	CD90+	CD90
ANTIGEN_PRESENTATION	positive	CD91+	CD91
ANTIGEN_PRESENTATION	positive	CD92+	CD92
ANTIGEN_PRESENTATION	positive	CD93+	CD93
ANTIGEN_PRESENTATION	positive	CD94+	CD94
ANTIGEN_PRESENTATION	positive	CD95+	CD95
ANTIGEN_PRESENTATION	positive	CD96+	CD96
ANTIGEN_PRESENTATION	positive	CD97+	CD97
ANTIGEN_PRESENTATION	positive	CD98+	CD98
ANTIGEN_PRESENTATION	positive	CD99+	CD99
ANTIGEN_PRESENTATION	positive	CD100+	CD100
ANTIGEN_PRESENTATION	positive	CD101+	CD101
ANTIGEN_PRESENTATION	positive	CD102+	CD102
ANTIGEN_PRESENTATION	positive	CD103+	CD103
ANTIGEN_PRESENTATION	positive	CD104+	CD104
ANTIGEN_PRESENTATION	positive	CD105+	CD105
ANTIGEN_PRESENTATION	positive	CD106+	CD106
ANTIGEN_PRESENTATION	positive	CD107a+	CD107a
ANTIGEN_PRESENTATION	positive	CD107b+	CD107b
ANTIGEN_PRESENTATION	positive	CD108+	CD108
ANTIGEN_PRESENTATION	positive	CD109+	CD109
ANTIGEN_PRESENTATION	positive	CD110+	CD110
ANTIGEN_PRESENTATION	positive	CD111+	CD111
ANTIGEN_PRESENTATION	positive	CD112+	CD112
ANTIGEN_PRESENTATION	positive	CD113+	CD113
ANTIGEN_PRESENTATION	positive	CD114+	CD114
ANTIGEN_PRESENTATION	positive	CD115+	CD115
ANTIGEN_PRESENTATION	positive	CD116+	CD116
ANTIGEN_PRESENTATION	positive	CD117+	CD117
ANTIGEN_PRESENTATION	positive	CD118+	CD118
ANTIGEN_PRESENTATION	positive	CD119+	CD119
ANTIGEN_PRESENTATION	positive	CD120a+	CD120a
ANTIGEN_PRESENTATION	positive	CD120b+	CD120b
ANTIGEN_PRESENTATION	positive	CD121a+	CD121a
ANTIGEN_PRESENTATION	positive	CD121b+	CD121b
ANTIGEN_PRESENTATION	positive	CD122+	CD122
ANTIGEN_PRESENTATION	positive	CD123+	CD123
ANTIGEN_PRESENTATION	positive	CD124+	CD124
ANTIGEN_PRESENTATION	positive	CD125+	CD125
ANTIGEN_PRESENTATION	positive	CD126+	CD126
ANTIGEN_PRESENTATION	positive	CD127+	CD127
ANTIGEN_PRESENTATION	positive	CD128a+	CD128a
ANTIGEN_PRESENTATION	positive	CD128b+	CD128b
ANTIGEN_PRESENTATION	positive	CD129+	CD129
ANTIGEN_PRESENTATION	positive	CD130+	CD130
ANTIGEN_PRESENTATION	positive	CD131+	CD131
ANTIGEN_PRESENTATION	positive	CD132+	CD132
ANTIGEN_PRESENTATION	positive	CD133+	CD133
ANTIGEN_PRESENTATION	positive	CD134+	CD134
ANTIGEN_PRESENTATION	positive	CD135+	CD135
ANTIGEN_PRESENTATION	positive	CD136+	CD136
ANTIGEN_PRESENTATION	positive	CD137+	CD137
ANTIGEN_PRESENTATION	positive	CD138+	CD138
ANTIGEN_PRESENTATION	positive	CD139+	CD139
ANTIGEN_PRESENTATION	positive	CD140a+	CD140a
ANTIGEN_PRESENTATION	positive	CD140b+	CD140b
ANTIGEN_PRESENTATION	positive	CD141+	CD141
ANTIGEN_PRESENTATION	positive	CD142+	CD142
ANTIGEN_PRESENTATION	positive	CD143+	CD143
ANTIGEN_PRESENTATION	positive	CD144+	CD144
ANTIGEN_PRESENTATION	positive	CDw145+	CDw145
ANTIGEN_PRESENTATION	positive	CD146+	CD146
ANTIGEN_PRESENTATION	positive	CD147+	CD147
ANTIGEN_PRESENTATION	positive	CD148+	CD148
ANTIGEN_PRESENTATION	positive	CD149+	CD149
ANTIGEN_PRESENTATION	positive	CD150+	CD150
ANTIGEN_PRESENTATION	positive	CD151+	CD151
ANTIGEN_PRESENTATION	positive	CD152+	CD152
ANTIGEN_PRESENTATION	positive	CD153+	CD153
ANTIGEN_PRESENTATION	positive	CD154+	CD154
ANTIGEN_PRESENTATION	positive	CD155+	CD155
ANTIGEN_PRESENTATION	positive	CD156a+	CD156a
ANTIGEN_PRESENTATION	positive	CD156b+	CD156b
ANTIGEN_PRESENTATION	positive	CD156C+	CD156C
ANTIGEN_PRESENTATION	positive	CD157+	CD157
ANTIGEN_PRESENTATION	positive	CD158A+	CD158A
ANTIGEN_PRESENTATION	positive	CD158B1+	CD158B1
ANTIGEN_PRESENTATION	positive	CD158B2+	CD158B2
ANTIGEN_PRESENTATION	positive	CD158C+	CD158C
ANTIGEN_PRESENTATION	positive	CD158D+	CD158D
ANTIGEN_PRESENTATION	positive	CD158E1+	CD158E1
ANTIGEN_PRESENTATION	positive	CD158E2+	CD158E2
ANTIGEN_PRESENTATION	positive	CD158F+	CD158F
ANTIGEN_PRESENTATION	positive	CD158G+	CD158G
ANTIGEN_PRESENTATION	positive	CD158H+	CD158H
ANTIGEN_PRESENTATION	positive	CD158I+	CD158I
ANTIGEN_PRESENTATION	positive	CD158J+	CD158J
ANTIGEN_PRESENTATION	positive	CD158K+	CD158K
ANTIGEN_PRESENTATION	positive	CD159a+	CD159a
ANTIGEN_PRESENTATION	positive	CD159c+	CD159c
ANTIGEN_PRESENTATION	positive	CD160+	CD160
ANTIGEN_PRESENTATION	positive	CD161+	CD161
ANTIGEN_PRESENTATION	positive	CD162+	CD162
ANTIGEN_PRESENTATION	positive	CD163+	CD163
ANTIGEN_PRESENTATION	positive	CD164+	CD164
ANTIGEN_PRESENTATION	positive	CD165+	CD165
ANTIGEN_PRESENTATION	positive	CD166+	CD166
ANTIGEN_PRESENTATION	positive	CD167a+	CD167a
ANTIGEN_PRESENTATION	positive	CD167b+	CD167b
ANTIGEN_PRESENTATION	positive	CD168+	CD168
ANTIGEN_PRESENTATION	positive	CD169+	CD169
ANTIGEN_PRESENTATION	positive	CD170+	CD170
ANTIGEN_PRESENTATION	positive	CD171+	CD171
ANTIGEN_PRESENTATION	positive	CD172a+	CD172a
ANTIGEN_PRESENTATION	positive	CD172b+	CD172b
ANTIGEN_PRESENTATION	positive	CD172g+	CD172g
ANTIGEN_PRESENTATION	positive	CD173+	CD173
ANTIGEN_PRESENTATION	positive	CD174+	CD174
ANTIGEN_PRESENTATION	positive	CD175+	CD175
ANTIGEN_PRESENTATION	positive	CD175s+	CD175s
ANTIGEN_PRESENTATION	positive	CD176+	CD176
ANTIGEN_PRESENTATION	positive	CD177+	CD177
ANTIGEN_PRESENTATION	positive	CD178+	CD178
ANTIGEN_PRESENTATION	positive	CD179a+	CD179a
ANTIGEN_PRESENTATION	positive	CD179b+	CD179b
ANTIGEN_PRESENTATION	positive	CD180+	CD180
ANTIGEN_PRESENTATION	positive	CD181+	CD181
ANTIGEN_PRESENTATION	positive	CD182+	CD182
ANTIGEN_PRESENTATION	positive	CD183+	CD183
ANTIGEN_PRESENTATION	positive	CD184+	CD184
ANTIGEN_PRESENTATION	positive	CD185+	CD185
ANTIGEN_PRESENTATION	positive	CD186+	CD186
ANTIGEN_PRESENTATION	positive	CD191+	CD191
ANTIGEN_PRESENTATION	positive	CD192+	CD192
ANTIGEN_PRESENTATION	positive	CD193+	CD193
ANTIGEN_PRESENTATION	positive	CD194+	CD194
ANTIGEN_PRESENTATION	positive	CD195+	CD195
ANTIGEN_PRESENTATION	positive	CD196+	CD196
ANTIGEN_PRESENTATION	positive	CD197+	CD197
ANTIGEN_PRESENTATION	positive	CD198+	CD198
ANTIGEN_PRESENTATION	positive	CD199+	CD199
ANTIGEN_PRESENTATION	positive	CD200+	CD200
ANTIGEN_PRESENTATION	positive	CD201+	CD201
ANTIGEN_PRESENTATION	positive	CD202b+	CD202b
ANTIGEN_PRESENTATION	positive	CD203c+	CD203c
ANTIGEN_PRESENTATION	positive	CD204+	CD204
ANTIGEN_PRESENTATION	positive	CD205+	CD205
ANTIGEN_PRESENTATION	positive	CD206+	CD206
ANTIGEN_PRESENTATION	positive	CD207+	CD207
ANTIGEN_PRESENTATION	positive	CD208+	CD208
ANTIGEN_PRESENTATION	positive	CD209+	CD209
ANTIGEN_PRESENTATION	positive	CD210a+	CD210a
ANTIGEN_PRESENTATION	positive	CD210b+	CD210b
ANTIGEN_PRESENTATION	positive	CD212+	CD212
ANTIGEN_PRESENTATION	positive	CD213a1+	CD213a1
ANTIGEN_PRESENTATION	positive	CD213a2+	CD213a2
ANTIGEN_PRESENTATION	positive	CD215+	CD215
ANTIGEN_PRESENTATION	positive	CD217+	CD217
ANTIGEN_PRESENTATION	positive	CD218a+	CD218a
ANTIGEN_PRESENTATION	positive	CD218b+	CD218b
ANTIGEN_PRESENTATION	positive	CD220+	CD220
ANTIGEN_PRESENTATION	positive	CD221+	CD221
ANTIGEN_PRESENTATION	positive	CD222+	CD222
ANTIGEN_PRESENTATION	positive	CD223+	CD223
ANTIGEN_PRESENTATION	positive	CD224+	CD224
ANTIGEN_PRESENTATION	positive	CD225+	CD225
ANTIGEN_PRESENTATION	positive	CD226+	CD226
ANTIGEN_PRESENTATION	positive	CD227+	CD227
ANTIGEN_PRESENTATION	positive	CD228+	CD228
ANTIGEN_PRESENTATION	positive	CD229+	CD229
ANTIGEN_PRESENTATION	positive	CD230+	CD230
ANTIGEN_PRESENTATION	positive	CD231+	CD231
ANTIGEN_PRESENTATION	positive	CD232+	CD232
ANTIGEN_PRESENTATION	positive	CD233+	CD233
ANTIGEN_PRESENTATION	positive	CD234+	CD234
ANTIGEN_PRESENTATION	positive	CD235a+	CD235a
ANTIGEN_PRESENTATION	positive	CD235b+	CD235b
ANTIGEN_PRESENTATION	positive	CD236+	CD236
ANTIGEN_PRESENTATION	positive	CD238+	CD238
ANTIGEN_PRESENTATION	positive	CD239+	CD239
ANTIGEN_PRESENTATION	positive	CD240CE+	CD240CE
ANTIGEN_PRESENTATION	positive	CD240D+	CD240D
ANTIGEN_PRESENTATION	positive	CD241+	CD241
ANTIGEN_PRESENTATION	positive	CD242+	CD242
ANTIGEN_PRESENTATION	positive	CD243+	CD243
ANTIGEN_PRESENTATION	positive	CD244+	CD244
ANTIGEN_PRESENTATION	positive	CD245+	CD245
ANTIGEN_PRESENTATION	positive	CD246+	CD246
ANTIGEN_PRESENTATION	positive	CD247+	CD247
ANTIGEN_PRESENTATION	positive	CD248+	CD248
ANTIGEN_PRESENTATION	positive	CD249+	CD249
ANTIGEN_PRESENTATION	positive	CD252+	CD252
ANTIGEN_PRESENTATION	positive	CD253+	CD253
ANTIGEN_PRESENTATION	positive	CD254+	CD254
ANTIGEN_PRESENTATION	positive	CD256+	CD256
ANTIGEN_PRESENTATION	positive	CD257+	CD257
ANTIGEN_PRESENTATION	positive	CD258+	CD258
ANTIGEN_PRESENTATION	positive	CD261+	CD261
ANTIGEN_PRESENTATION	positive	CD262+	CD262
ANTIGEN_PRESENTATION	positive	CD263+	CD263
ANTIGEN_PRESENTATION	positive	CD264+	CD264
ANTIGEN_PRESENTATION	positive	CD265+	CD265
ANTIGEN_PRESENTATION	positive	CD266+	CD266
ANTIGEN_PRESENTATION	positive	CD267+	CD267
ANTIGEN_PRESENTATION	positive	CD268+	CD268
ANTIGEN_PRESENTATION	positive	CD269+	CD269
ANTIGEN_PRESENTATION	positive	CD270+	CD270
ANTIGEN_PRESENTATION	positive	CD271+	CD271
ANTIGEN_PRESENTATION	positive	CD272+	CD272
ANTIGEN_PRESENTATION	positive	CD273+	CD273
ANTIGEN_PRESENTATION	positive	CD274+	CD274
ANTIGEN_PRESENTATION	positive	CD275+	CD275
ANTIGEN_PRESENTATION	positive	CD276+	CD276
ANTIGEN_PRESENTATION	positive	CD277+	CD277
ANTIGEN_PRESENTATION	positive	CD278+	CD278
ANTIGEN_PRESENTATION	positive	CD279+	CD279
ANTIGEN_PRESENTATION	positive	CD280+	CD280
ANTIGEN_PRESENTATION	positive	CD281+	CD281
ANTIGEN_PRESENTATION	positive	CD282+	CD282
ANTIGEN_PRESENTATION	positive	CD283+	CD283
ANTIGEN_PRESENTATION	positive	CD284+	CD284
ANTIGEN_PRESENTATION	positive	CD286+	CD286
ANTIGEN_PRESENTATION	positive	CD288+	CD288
ANTIGEN_PRESENTATION	positive	CD289+	CD289
